Level,Korean,English,Category
beginner,엄마,Mom / Mother,Family
beginner,할머니,Grandmother,Family
beginner,아빠,Dad / Father,Family
beginner,할아버지,Grandfather,Family
beginner,오빠,Older brother (for a female),Family
beginner,형,Older brother (for a male),Family
beginner,언니,Older sister (for a female),Family
beginner,누나,Older sister (for a male),Family
beginner,동생,Younger sibling,Family
beginner,개,Dog,Animals
beginner,고양이,Cat,Animals
beginner,반려동물,Pet,Animals
intermediate,입양하다,To adopt,Verbs
beginner,키우다,To raise / keep (a pet),Verbs
beginner,금붕어,Goldfish,Animals
beginner,토끼,Rabbit,Animals
beginner,햄스터,Hamster,Animals
beginner,앵무새,Parrot,Animals
intermediate,생신,Birthday (honorific),Honorifics
intermediate,연세,Age (honorific),Honorifics
beginner,집,House / Home,Places
beginner,생일,Birthday,Daily Life
intermediate,골프를 치다,To play golf,Activities
beginner,친절하다,To be kind,Adjectives
beginner,예쁘다,To be pretty,Adjectives
beginner,좋아하다,To like,Verbs
beginner,키가 크다,To be tall,Descriptions
beginner,똑똑하다,To be smart,Descriptions
beginner,귀엽다,To be cute,Descriptions
beginner,재미있다,To be fun / interesting,Descriptions
beginner,피아노를 치다,To play the piano,Activities
beginner,노래를 부르다,To sing a song,Activities
beginner,춤을 추다,To dance,Activities
beginner,그림을 그리다,To draw a picture,Activities
intermediate,전화하다,To call / talk on the phone,Verbs
beginner,공원,Park,Places
beginner,놀이터,Playground,Places
beginner,도서관,Library,Places
beginner,마트,Mart / Grocery store,Places
beginner,빵집,Bakery,Places
beginner,식당,Restaurant,Places
beginner,책방,Bookstore,Places
beginner,테니스장,Tennis court,Places
beginner,벤치,Bench,Playground
beginner,그네,Swing,Playground
beginner,시소,Seesaw,Playground
intermediate,구름다리,Monkey bars,Playground
intermediate,미끄럼틀,Playground slide,Playground
beginner,아이들,Kids / Children,People
intermediate,인기가 많다,To be popular,Expressions
beginner,꽃,Flower,Nature
beginner,나무,Tree,Nature
beginner,크다,To be big,Adjectives
beginner,작다,To be small,Adjectives
beginner,주말,Weekend,Time
beginner,이를 닦다,To brush one's teeth,Daily Routine
beginner,세수하다,To wash one's face,Daily Routine
beginner,수영,Swimming,Activities
beginner,학교,School,Places
beginner,친구,Friend,People
beginner,밥,Meal / Rice,Food
beginner,우유,Milk,Food
beginner,숙제,Homework,School
beginner,텔레비전,Television,Objects
beginner,책,Book,Objects
beginner,미안해,I'm sorry,Expressions
beginner,괜찮아,It's okay,Expressions
beginner,고마워,Thank you,Expressions
beginner,반가워,Nice to meet you,Expressions
beginner,축하해,Congratulations,Expressions
beginner,약속,Promise / Appointment,Daily Life
beginner,운동장,School field / Playground,Places
intermediate,잊어버리다,To forget,Verbs
beginner,갑자기,Suddenly,Adverbs
intermediate,이해하다,To understand,Verbs
intermediate,약속을 지키다,To keep a promise,Expressions
intermediate,약속을 못 지키다,To fail to keep a promise,Expressions
beginner,축구,Soccer,Sports
beginner,점심,Lunch,Food
beginner,배가 아프다,To have a stomachache,Health
beginner,늦다,To be late,Adjectives
beginner,비,Rain,Weather
beginner,게임,Game,Activities
beginner,아침,Morning / Breakfast,Time
beginner,수영하다,To swim,Activities
beginner,자전거를 타다,To ride a bicycle,Activities
beginner,매운 음식,Spicy food,Food
intermediate,기분이 안 좋다,To feel bad / be in a bad mood,Emotions
beginner,오리,Duck,Animals
beginner,개미,Ant,Animals
beginner,베짱이,Grasshopper,Animals
beginner,거북이,Turtle,Animals
beginner,돼지,Pig,Animals
beginner,쥐,Mouse,Animals
beginner,농부,Farmer,People
beginner,아내,Wife,People
intermediate,사또,Magistrate,Traditional Culture
intermediate,욕심쟁이,Greedy person,People / Traits
beginner,무,Radish,Food
beginner,송아지,Calf,Animals
beginner,밭,Field / Farm field,Places
intermediate,농사를 짓다,To farm,Activities
beginner,커다랗다,To be very big,Adjectives
beginner,선물,Gift,Objects
beginner,약국,Pharmacy,Places
beginner,카페,Cafe,Places
beginner,영화관,Movie theater,Places
beginner,만나다,To meet,Verbs
beginner,읽다,To read,Verbs
beginner,사다,To buy,Verbs
beginner,먹다,To eat,Verbs
beginner,보다,To see / watch,Verbs
beginner,듣다,To listen,Verbs
beginner,심심하다,To be bored,Emotions
beginner,배가 고프다,To be hungry,Conditions
beginner,아프다,To be sick / hurt,Conditions
beginner,약을 먹다,To take medicine,Daily Life
intermediate,화가 나다,To be angry,Emotions
beginner,신나다,To be excited,Emotions
beginner,무섭다,To be scared / scary,Emotions
beginner,행복하다,To be happy,Emotions
beginner,슬프다,To be sad,Emotions
beginner,동화책,Storybook,Books
beginner,이야기,Story,Language
